gid,weekend,hour_8_10,hour_11_13,hour_14_16,hour_17_19,hour_20_22,hour_23_1,hour_2_4,hour_5_7,num_coord,trip_dist,trip_time,trip_aspeed,act_edu,act_health,act_leisure,act_meal,act_errand,act_shop,act_home,act_work,act_meeting,mode
36010,0,0,1,0,0,0,0,0,0,3.296,0.242161557149972,2.91868922905568,1.68639895357023,0,0,0,0,0,0,0,1,0,4
36017,0,0,0,0,1,0,0,0,0,5.903,3.62554021355185,3.51948399420612,4.22390976657674,0,0,1,0,0,0,0,0,0,1
36012,0,0,0,0,1,0,0,0,0,3.434,2.77552191621722,3.63890108430769,3.23080439573347,0,0,1,0,0,0,0,0,0,3
36020,0,0,0,0,0,1,0,0,0,4.718,2.35327820730956,2.91327415111347,3.54961738678043,0,0,0,0,0,0,1,0,0,5
36023,0,0,1,0,0,0,0,0,0,4.762,2.0698961288363,2.80535838356921,3.35689712276558,0,0,0,0,0,0,0,0,1,1
36024,0,0,0,1,0,0,0,0,0,4.127,1.57794724534273,2.04769284336526,3.57515068878559,0,0,0,0,0,0,1,0,0,1
36026,0,0,0,0,0,1,0,0,0,4.443,1.82212700584445,2.5350451109456,3.34286180464919,0,0,0,0,0,0,1,0,0,1
36027,0,0,0,0,1,0,0,0,0,3.829,1.20746669358019,2.09592985918464,3.11351530921037,0,0,1,0,0,0,0,0,0,1
36028,0,0,0,1,0,0,0,0,0,3.664,1.02818982437156,1.7227665977411,3.38439026334577,0,0,0,0,0,0,0,1,0,1
42044,0,0,0,0,0,1,0,0,0,2.996,0.484892241739486,1.22377543162212,3.32143241319329,0,0,0,0,0,0,1,0,0,1
36014,0,0,0,0,0,1,0,0,0,4.771,2.30926274774729,2.71250692181915,3.68386691229039,0,0,0,0,0,0,1,0,0,1
48757,0,1,0,0,0,0,0,0,0,4.007,1.37118072330984,2.57642175862377,2.81540871942271,0,0,0,0,0,0,0,1,0,3
36021,0,0,0,0,1,0,0,0,0,3.135,0.70408712059828,2.70250150217179,1.7227665977411,0,0,1,0,0,0,0,0,0,4
36676,0,0,0,0,1,0,0,0,0,3.85,1.10558790240454,3.42533699584864,1.7227665977411,0,0,0,0,0,0,1,0,0,4
36029,0,0,1,0,0,0,0,0,0,4.745,1.85676663053667,3.40674861170048,2.58021682959233,0,0,0,0,0,0,0,1,0,2
36030,0,0,1,0,0,0,0,0,0,4.466,1.74780758169887,2.7102477846457,3.05400118167797,0,0,0,0,0,0,0,1,0,1
36018,0,0,0,0,0,0,0,0,1,3.526,2.91446798672303,3.57747292028959,3.44998754583159,0,0,0,0,0,0,0,1,0,3
36072,0,0,0,0,0,1,0,0,0,4.605,2.03483635824971,2.40847546825148,3.70622809244855,0,0,0,0,0,0,1,0,0,1
36019,0,0,1,0,0,0,0,0,0,4.078,1.44809476202534,2.32405299960929,3.13983261752775,0,0,0,0,0,0,0,1,0,3
36031,0,0,0,0,0,0,0,0,1,4.605,1.91382959844883,2.8669325261624,3.09557760852371,0,0,0,0,0,0,0,1,0,1
36022,0,0,0,0,1,0,0,0,0,6.497,3.80198490021921,4.66186238005338,3.26193531432865,0,0,0,0,0,0,0,1,0,1
36033,0,0,0,0,1,0,0,0,0,4.06,1.47201323652243,2.48765287545603,2.96527306606928,0,0,0,0,0,0,1,0,0,1
38437,0,0,1,0,0,0,0,0,0,2.89,0.555607766537884,1.57897870494939,2.56494935746154,0,0,0,0,0,0,0,1,0,2
36037,0,0,0,0,0,1,0,0,0,5.894,3.53202094475651,3.46157099158558,4.3267781604434,0,0,1,0,0,0,0,0,0,1
36038,0,0,0,0,0,0,0,0,1,4.564,1.76678348315788,3.03816896375125,2.76000994003292,0,0,0,0,0,0,0,1,0,1
37405,0,0,1,0,0,0,0,0,0,3.664,1.1032681002043,2.52436771866891,2.51769647261099,0,0,0,1,0,0,0,0,0,1
36046,0,0,0,0,0,1,0,0,0,4.97,2.59383579032285,4.1455128487965,2.57261223020711,0,0,0,1,0,0,0,0,0,1
36047,0,0,0,0,1,0,0,0,0,3.045,1.62037785247243,3.216192227239,2.47653840011748,0,0,0,0,0,0,0,1,0,3
36048,0,0,0,0,1,0,0,0,0,3.784,1.04942204447734,3.17876191293163,1.88706964903238,0,0,0,0,0,0,1,0,0,4
36049,0,0,0,0,1,0,0,0,0,3.912,1.51028034090088,3.72127403754981,1.87180217690159,0,0,0,0,0,0,1,0,0,4
36051,0,0,0,0,1,0,0,0,0,2.833,0.608133806232989,2.11625551480255,2.23001440015921,0,0,0,1,0,0,0,0,0,1
36032,0,0,0,1,0,0,0,0,0,6.109,3.5842964139215,4.18154619888899,3.51452606696916,0,0,0,0,0,0,1,0,0,1
36065,0,0,0,0,0,1,0,0,0,2.773,0.299363577225619,2.50004153737227,1.52605630349505,0,0,1,0,0,0,0,0,0,4
36039,0,0,0,1,0,0,0,0,0,5.501,3.064931790355,3.41992099566026,3.7635229971097,0,0,0,0,0,0,1,0,0,1
36040,0,0,0,0,0,1,0,0,0,3.689,2.341901955371,3.73964385866391,2.69462718077007,0,0,0,1,0,0,0,0,0,3
36041,0,0,0,0,0,1,0,0,0,3.135,0.677525799656988,2.32071966318953,2.02814824729229,0,0,0,1,0,0,0,0,0,3
36070,0,0,0,0,1,0,0,0,0,3.689,1.12037378044962,2.49592901306974,2.52572864430826,0,0,1,0,0,0,0,0,0,1
36071,0,0,0,0,1,0,0,0,0,3.135,1.0564004398588,1.70474809223843,3.40452517175483,0,0,0,1,0,0,0,0,0,1
36073,0,0,0,0,1,0,0,0,0,2.398,0.503801008829026,1.75492257917608,2.32238772029023,0,0,1,0,0,0,0,0,0,3
36042,0,0,0,0,0,1,0,0,0,5.056,2.41778702268273,3.15414528529627,3.3499040872746,0,0,0,1,0,0,0,0,0,1
36043,0,0,0,0,0,1,0,0,0,4.898,2.19900077673747,3.20951212191523,3.06805293513362,0,0,0,1,0,0,0,0,0,1
36044,0,0,0,0,1,0,0,0,0,4.19,1.51336744368337,2.95319005028832,2.58776403522771,0,0,0,0,0,0,0,1,0,1
36045,0,0,0,0,1,0,0,0,0,3.689,0.996579563102958,1.92424865227413,3.01553490085017,0,0,0,0,0,0,0,1,0,2
37406,0,0,1,0,0,0,0,0,0,2.944,0.551583616238158,1.36940249344967,3.06805293513362,0,0,0,1,0,0,0,0,0,1
36056,0,1,0,0,0,0,0,0,0,5.308,2.70343958854453,3.5567756134806,3.26956893918372,0,0,0,0,0,0,0,1,0,1
36054,0,0,0,1,0,0,0,0,0,5.165,2.40793560860187,3.62212514660054,2.91235066461494,0,0,0,0,0,0,1,0,0,1
36052,0,0,0,0,0,1,0,0,0,4.248,3.23258147192431,4.16615346496853,3.18221184049661,0,0,0,0,0,0,1,0,0,3
36059,0,0,0,1,0,0,0,0,0,4.997,2.40541240279352,3.60775074028246,3.06339092202781,0,0,0,0,0,0,1,0,0,1
36057,0,0,0,1,0,0,0,0,0,4.078,1.49582118564713,2.75576041725829,2.66722820658195,0,0,0,0,0,0,1,0,0,3
36060,0,0,0,0,0,1,0,0,0,4.025,1.42021257932335,2.73650807391869,2.66025953726586,0,0,0,0,0,1,0,0,0,1
36058,0,0,0,1,0,0,0,0,0,5.288,2.78716940555481,3.46417218082354,3.56388296393925,0,0,0,0,0,0,1,0,0,1
36061,0,0,0,0,0,1,0,0,0,4.564,1.95628471805385,2.60394815250169,3.40784192438082,0,0,0,1,0,0,0,0,0,1
36062,0,0,0,0,1,0,0,0,0,4.111,1.39673961898143,2.37024374146786,3.10009228887823,0,0,0,0,0,0,0,1,0,7
36063,0,0,0,0,0,1,0,0,0,3.258,2.28105497444368,4.18965474202643,2.23001440015921,0,0,0,0,0,0,1,0,0,3
36055,0,0,0,0,1,0,0,0,0,5.687,3.03206420280138,3.54480698475168,3.63758615972639,0,0,1,0,0,0,0,0,0,1
49285,0,0,0,1,0,0,0,0,0,2.89,0.460584407329244,2.20640453452008,1.93152141160321,0,0,0,0,0,0,1,0,0,3
36067,0,0,0,0,0,1,0,0,0,4.99,2.41412646772695,3.06884332037131,3.43720781918519,0,0,0,0,1,0,0,0,0,1
36066,0,0,0,1,0,0,0,0,0,6.1,3.5708276323378,3.94739014926544,3.73528582692809,0,0,0,0,0,0,1,0,0,1
37801,0,0,0,1,0,0,0,0,0,3.219,0.741461040838496,3.29149411657019,1.30833281965018,0,0,0,0,0,0,0,1,0,7
36077,0,0,1,0,0,0,0,0,0,4.025,1.43174562402381,2.76631910922619,2.65324196460721,0,0,0,0,0,0,0,1,0,1
36078,0,0,0,1,0,0,0,0,0,3.219,0.713929719742474,1.91205785725009,2.63905732961526,0,0,0,0,0,1,0,0,0,2
49286,0,0,0,1,0,0,0,0,0,6.518,3.79132322019036,4.3554259528767,3.88567903008854,0,0,0,0,0,0,1,0,0,1
36068,0,0,0,0,0,1,0,0,0,4.898,2.15466496291742,3.50606777723075,2.76000994003292,0,0,0,1,0,0,0,0,0,1
36074,0,0,0,0,0,1,0,0,0,5.521,3.25671096317122,3.14272885228833,4.24276456734037,0,0,0,0,0,0,1,0,0,1
36101,0,0,0,0,1,0,0,0,0,3.714,1.10658045831729,1.74344419228183,3.38777436133001,0,0,0,0,0,0,1,0,0,1
36079,0,0,0,0,1,0,0,0,0,5.187,2.43413953273435,3.72528370475764,2.82731362192903,0,0,1,0,0,0,0,0,0,1
36069,0,0,0,1,0,0,0,0,0,5.069,2.63755620348899,3.65669194986069,3.10906095886099,0,0,0,0,0,0,1,0,0,1
36177,0,0,0,0,1,0,0,0,0,3.829,1.79939689635727,3.18635263316264,2.69462718077007,0,0,1,0,0,0,0,0,0,3
36080,0,0,0,0,1,0,0,0,0,4.382,1.74780758169887,3.09408327990094,2.69462718077007,0,0,1,0,0,0,0,0,0,1
36102,0,0,0,1,0,0,0,0,0,2.485,0,1.16844924825689,2.70805020110221,0,0,0,0,0,0,1,0,0,1
36076,0,0,0,1,0,0,0,0,0,4.625,1.87072467352635,3.38834852079324,2.57261223020711,0,0,0,0,0,0,0,1,0,3
39925,1,0,0,1,0,0,0,0,0,2.833,0.371563556432483,1.86408013080768,2.19722457733622,0,0,0,0,0,1,0,0,0,1
36082,0,0,0,0,0,1,0,0,0,4.344,2.37704300391206,3.21084365317094,3.65325227647078,0,0,0,1,0,0,0,0,0,1
38162,0,0,0,1,0,0,0,0,0,3.367,0.798407691217438,2.95319005028832,1.70474809223843,0,0,0,0,0,1,0,0,0,4
36091,0,0,0,0,0,0,1,0,0,5.198,2.59428408680376,3.30992238288654,3.36384159511839,0,0,0,0,0,0,0,1,0,1
36085,0,1,0,0,0,0,0,0,0,4.787,2.65415703875687,2.36865369296375,4.42843300748804,0,0,0,0,0,1,0,0,0,1
36130,0,0,0,1,0,0,0,0,0,3.989,1.34181987101806,2.63426012713145,2.67414864942653,0,0,0,0,0,0,0,1,0,1
36087,0,0,0,1,0,0,0,0,0,5.1,2.43106625464259,3.34522649772349,3.17387845893747,0,0,0,0,0,0,0,1,0,1
36089,0,0,0,0,0,1,0,0,0,4.205,1.52887840457568,2.76108531098135,2.79728133483015,0,0,0,0,0,0,1,0,0,3
36092,0,0,0,0,1,0,0,0,0,3.638,1.95614332533534,3.40618492317319,2.61006979274201,0,0,0,0,0,0,1,0,0,3
37103,0,1,0,0,0,0,0,0,0,3.638,2.8501282996952,3.42207785924151,3.53514535417189,0,0,0,0,0,0,0,1,0,3
36093,0,0,0,0,0,0,1,0,0,3.401,1.56108765149305,3.08954132723205,2.47653840011748,0,0,1,0,0,0,0,0,0,3
36086,0,0,0,0,0,0,1,0,0,4.736,1.99293003973186,2.8342128443893,3.25037449192757,0,0,0,0,0,0,1,0,0,1
36096,0,0,0,1,0,0,0,0,0,3.951,1.30698055440017,2.42921774392741,2.83907846350861,0,0,0,0,0,0,1,0,0,1
36781,0,0,0,0,0,1,0,0,0,3.664,1.95812100644328,3.46782746395992,2.56494935746154,0,0,0,0,0,0,1,0,0,1
36098,0,0,0,0,1,0,0,0,0,4.963,2.21287917990955,2.85070650150373,3.44361809754611,0,0,0,0,0,0,0,1,0,1
36111,0,0,0,0,1,0,0,0,0,4.382,1.6426792462139,3.06418499918843,2.67414864942653,0,0,0,0,0,1,0,0,0,1
42884,1,0,0,0,1,0,0,0,0,2.708,0.390013003549243,2.53234669660983,1.43508452528932,0,0,1,0,0,0,0,0,0,4
36100,0,0,0,1,0,0,0,0,0,6.196,3.96187926777958,4.0954606058803,3.98713047791495,0,0,0,0,0,0,1,0,0,1
48153,0,0,1,0,0,0,0,0,0,5.814,3.3063371006382,4.02415454587167,3.39450839351136,0,0,0,0,0,0,0,1,0,1
36116,0,0,0,0,0,1,0,0,0,3.296,1.33552724406624,3.15984742840596,3.79323946943818,0,0,1,0,0,0,0,0,0,3
36117,0,0,0,0,0,1,0,0,0,3.761,1.07363630259793,2.4932054526027,2.51769647261099,0,0,1,0,0,0,0,0,0,3
39048,0,0,0,0,1,0,0,0,0,2.89,0.513422249613257,2.43212101434308,1.70474809223843,0,0,0,0,0,0,1,0,0,3
36099,0,1,0,0,0,0,0,0,0,5.323,3.11706455872152,2.92852352386054,4.30945594183905,0,0,0,0,0,0,0,1,0,1
36107,0,0,0,0,1,0,0,0,0,4.357,1.6482739362193,3.26956893918372,2.39789527279837,0,0,1,0,0,0,0,0,0,3
42678,1,0,0,0,0,0,1,0,0,2.944,0.531216313413725,2.40541240279352,1.80828877117927,0,0,0,0,0,0,1,0,0,3
36112,0,0,0,0,0,0,1,0,0,4.625,2.06610297724066,3.34930741807487,2.79116510781272,0,0,0,0,0,0,1,0,0,3
45826,0,0,0,0,0,1,0,0,0,2.639,0.412771683290603,2.23719287422699,1.66770682055808,0,0,1,0,0,0,0,0,0,3
36105,0,0,0,1,0,0,0,0,0,5.897,3.41081762503915,3.91168294761504,3.61091791264422,0,0,0,0,0,0,1,0,0,1
36103,0,0,0,1,0,0,0,0,0,6.047,3.77032118270118,3.95540811236755,3.94352167248752,0,0,0,0,0,0,0,1,0,1
36108,0,0,0,0,0,0,1,0,0,3.135,1.02173124433215,1.81645208181843,3.1904763503465,0,0,0,1,0,0,0,0,0,1
36113,0,0,0,0,0,0,1,0,0,5.268,2.54702035844254,3.39842688069949,3.2846635654062,0,0,0,0,0,0,1,0,0,1
36114,0,0,0,1,0,0,0,0,0,2.773,0.482426149244293,2.09801792725277,1.97408102602201,0,0,0,0,0,0,0,1,0,2
37724,0,0,0,1,0,0,0,0,0,3.434,0.861623330531847,3.46157099158558,1.33500106673234,0,0,0,0,0,0,0,1,0,3
36104,0,0,0,0,0,0,0,0,1,6.182,3.52196854101941,4.36585914226171,3.40119738166216,0,0,0,0,1,0,0,0,0,1
36106,0,0,0,0,0,0,0,0,1,3.761,1.0522192490984,2.25307967309021,2.74727091425549,0,0,0,0,0,0,0,1,0,2
36109,0,0,0,1,0,0,0,0,0,3.97,1.34390864462345,2.75474292909419,2.56494935746154,0,0,0,0,0,0,1,0,0,1
36115,0,0,0,0,0,0,1,0,0,5.318,3.0073643577837,2.90597166634637,4.22390976657674,0,0,0,0,0,0,1,0,0,3
36110,0,0,0,0,0,1,0,0,0,3.664,0.998055033676795,2.62589971807453,2.29253475714054,0,0,0,0,0,0,1,0,0,3
36131,0,0,0,1,0,0,0,0,0,4.078,1.44597736328106,3.24130245742976,2.2082744135228,0,0,0,0,0,0,0,1,0,1
36134,0,0,0,1,0,0,0,0,0,4.71,2.41296300046365,3.75342578772099,2.92852352386054,0,0,0,1,0,0,0,0,0,1
36132,0,0,0,0,1,0,0,0,0,4.19,1.54692400704486,2.66493391002858,2.91777073208428,0,0,0,1,0,0,0,0,0,3
36122,0,1,0,0,0,0,0,0,0,4.585,1.98787434815435,2.78606007473724,3.31418600467253,0,0,0,0,0,0,0,1,0,1
