"gid","weekend","hour_term_8_10","hour_term_11_13","hour_term_14_16","hour_term_17_19","hour_term_20_22","hour_term_23_1","hour_term_2_4","hour_term_5_7","trip_length_km","trip_duration_min","avg_speed_kms","ln_n_coord","education","health","leisure","cafe","errand","shopping","home","work","meeting","mode"
7652,0,0,0,0,1,0,0,0,0,"2.732","39.517","4.70","4.143",0,0,0,0,0,0,1,0,0,"4"
7658,0,0,0,0,0,1,0,0,0,"14.985","22.117","41.60","5.268",0,0,0,0,0,0,1,0,0,"1"
7657,0,0,0,1,0,0,0,0,0,"22.154","52.367","26.00","5.796",0,0,0,0,0,0,0,1,0,"1"
7656,0,0,0,1,0,0,0,0,0,"38.026","69.8","45.30","6.304",0,0,0,0,0,0,1,0,0,"1"
7785,0,0,0,1,0,0,0,0,0,"3.222","21.317","9.50","4.043",0,0,0,0,0,0,0,0,1,"1"
7664,0,0,0,1,0,0,0,0,0,"22.257","52.967","25.40","5.841",0,0,0,0,0,0,1,0,0,"1"
7672,0,0,0,1,0,0,0,0,0,"3.186","14.667","13.30","4.025",0,0,0,0,0,0,0,1,0,"3"
7659,0,0,0,1,0,0,0,0,0,"3.755","22.65","9.90","4.143",0,1,0,0,0,0,0,0,0,"1"
7935,0,0,0,0,0,0,0,0,1,"2.834","7.717","25.10","4.043",0,0,0,0,0,0,0,1,0,"1"
7667,0,0,0,0,0,1,0,0,0,"7.443","24.383","18.60","4.673",0,1,0,0,0,0,0,0,0,"2"
8391,0,0,0,0,1,0,0,0,0,"1.256","18.15","4.30","3.367",0,0,0,0,0,0,1,0,0,"4"
7660,0,0,0,0,1,0,0,0,0,"2.805","12.217","15.80","3.989",0,0,0,0,0,0,1,0,0,"2"
7661,0,0,0,0,1,0,0,0,0,"1.273","2.35","37.70","3.258",0,0,1,0,0,0,0,0,0,"1"
7662,0,0,0,1,0,0,0,0,0,"0.741","12.767","3.60","2.833",0,0,0,0,0,0,1,0,0,"3"
7663,0,0,0,1,0,0,0,0,0,"6.518","35.183","11.10","3.611",0,0,0,0,0,0,1,0,0,"3"
7673,0,0,0,1,0,0,0,0,0,"8.873","24.717","21.80","5.050",0,0,0,0,0,0,1,0,0,"3"
7670,0,0,0,1,0,0,0,0,0,"25.976","40.1","53.60","5.953",0,0,0,0,0,0,1,0,0,"7"
7677,0,1,0,0,0,0,0,0,0,"33.734","141.417","35.00","5.846",0,0,0,1,0,0,0,0,0,"1"
7671,0,0,0,0,1,0,0,0,0,"9.857","47.517","12.70","5.182",0,0,0,0,0,0,0,1,0,"7"
7681,0,0,0,0,0,0,1,0,0,"24.628","67.4","22.00","5.398",0,0,0,1,0,0,0,0,0,"1"
7682,0,0,0,0,0,0,1,0,0,"24.347","28.483","51.60","5.371",0,0,0,1,0,0,0,0,0,"1"
7674,0,0,0,0,0,1,0,0,0,"0.718","3.2","14.70","2.773",0,0,0,0,0,0,1,0,0,"1"
7675,0,0,0,0,0,1,0,0,0,"1.770","8.883","13.60","3.584",0,0,1,0,0,0,0,0,0,"3"
7676,0,1,0,0,0,0,0,0,0,"10.284","42.55","36.50","4.673",0,0,0,1,0,0,0,0,0,"1"
7786,0,0,0,1,0,0,0,0,0,"2.369","10.217","14.40","3.761",0,0,0,0,0,0,0,0,1,"1"
11822,0,0,0,0,1,0,0,0,0,"0.961","10.133","8.90","3.367",0,0,0,0,0,0,0,1,0,"3"
7791,0,0,0,0,0,1,0,0,0,"1.840","10.4","11.20","2.996",0,0,0,0,0,0,1,0,0,"1"
7678,0,0,0,0,1,0,0,0,0,"11.883","44.95","18.80","4.927",0,0,0,1,0,0,0,0,0,"1"
7684,0,0,0,0,1,0,0,0,0,"16.671","98.4","10.20","5.572",0,0,0,1,0,0,0,0,0,"1"
7689,0,0,0,0,1,0,0,0,0,"8.811","18.617","28.80","4.905",0,0,0,0,0,0,1,0,0,"1"
7688,0,0,0,0,0,1,0,0,0,"5.295","14","23.40","4.500",0,1,0,0,0,0,0,0,0,"1"
7722,0,0,0,0,0,1,0,0,0,"4.988","13.967","22.40","4.454",0,0,0,0,0,0,1,0,0,"1"
7685,0,0,0,0,0,1,0,0,0,"28.192","97.95","25.80","5.557",0,0,0,1,0,0,0,0,0,"1"
7686,0,0,0,0,0,1,0,0,0,"4.658","8.567","35.00","4.407",0,0,0,1,0,0,0,0,0,"1"
7687,0,0,0,1,0,0,0,0,0,"5.775","17.933","19.80","4.710",0,0,0,0,0,0,1,0,0,"6"
7690,0,0,0,1,0,0,0,0,0,"2.528","10.067","16.60","3.892",0,0,0,0,0,0,1,0,0,"1"
7692,0,0,0,0,1,0,0,0,0,"16.230","27.65","35.30","5.338",0,0,0,0,0,0,1,0,0,"3"
7693,0,0,0,1,0,0,0,0,0,"25.182","67.483","22.50","5.932",0,0,0,0,0,0,0,1,0,"1"
7711,0,0,0,1,0,0,0,0,0,"3.452","10.917","20.30","4.094",0,0,0,0,0,0,1,0,0,"1"
7984,0,0,0,0,1,0,0,0,0,"1.050","3.183","23.00","2.833",0,0,0,1,0,0,0,0,0,"1"
7691,0,0,0,1,0,0,0,0,0,"23.343","52.6","27.00","5.740",0,0,0,0,0,0,1,0,0,"1"
